p_val	avg_log2FC	pct.1	pct.2	p_val_adj
NOSIP	0	-1.9060519412792	0.339	0.75	0
PABPC1	0	-1.22966516452608	0.738	0.936	0
PFN1	0	1.13448960245877	0.996	0.972	0
PLEK	0	5.16049096261492	0.573	0.025	0
PRF1	0	5.18225071386374	0.747	0.054	0
RACK1	0	-0.657286301822209	0.968	0.989	0
RCAN3	0	-3.27809040188141	0.052	0.393	0
RPL10	0	-0.63502750546578	0.999	0.999	0
RPL10A	0	-0.650404734584898	0.948	0.983	0
RPL11	0	-0.809128229292758	0.997	0.997	0
RPL12	0	-0.712908127688696	0.992	0.995	0
RPL13	0	-0.745038327754926	0.998	0.998	0
RPL14	0	-0.43164965455729	0.996	0.997	0
RPL18	0	-0.720867184829572	0.994	0.995	0
RPL18A	0	-0.620092127809698	0.996	0.996	0
RPL19	0	-0.616402707652066	0.998	0.996	0
RPL22	0	-0.913892439070068	0.934	0.989	0
RPL24	0	-0.53341099247703	0.967	0.987	0
RPL28	0	-0.446970580184118	0.999	0.997	0
RPL29	0	-0.667883107837527	0.994	0.995	0
RPL30	0	-0.668250131284355	0.999	0.997	0
RPL32	0	-0.852100850898671	0.998	0.997	0
RPL34	0	-0.663518038138511	0.994	0.995	0
RPL35A	0	-0.603612944586557	0.991	0.992	0
RPL36	0	-0.572926686787632	0.973	0.99	0
RPL37	0	-0.598852090679614	0.983	0.992	0
RPL39	0	-0.665466156714379	0.996	0.993	0
RPL41	0	-0.346471057260839	0.999	0.998	0
RPL5	0	-0.877026515426373	0.966	0.989	0
RPL8	0	-0.759796182105926	0.989	0.994	0
RPL9	0	-0.809722346782964	0.953	0.986	0
RPLP0	0	-0.749449624494346	0.97	0.991	0
RPLP1	0	-0.671843504108102	1	0.998	0
RPLP2	0	-0.504008868915875	0.991	0.994	0
RPS12	0	-0.789129072633845	1	0.997	0
RPS13	0	-0.994899002718705	0.993	0.994	0
RPS14	0	-0.498583419319065	0.996	0.996	0
RPS15A	0	-0.548204430337046	0.996	0.995	0
RPS18	0	-0.616316444020924	0.994	0.993	0
RPS23	0	-0.668923102479132	0.996	0.996	0
RPS25	0	-0.561443718723304	0.989	0.993	0
RPS27A	0	-0.557385381875472	0.998	0.996	0
RPS28	0	-0.534021287693129	0.994	0.995	0
RPS3A	0	-0.921172698150897	0.991	0.995	0
RPS4X	0	-0.620723477772733	0.994	0.995	0
RPS5	0	-0.934742494730148	0.958	0.985	0
RPS6	0	-0.707526433529415	0.977	0.991	0
RPS8	0	-0.938741930535986	0.998	0.998	0
RPS9	0	-0.588931602386683	0.948	0.977	0
RPSA	0	-0.623572563681762	0.967	0.986	0
S100A10	0	1.00589822838864	0.923	0.746	0
S100A4	0	1.68119572954091	0.992	0.739	0
S100A6	0	0.989724300760512	0.957	0.847	0
SARAF	0	-1.03229529055741	0.792	0.945	0
SELL	0	-1.66811408495269	0.259	0.632	0
SH3BGRL3	0	1.50426980325352	0.995	0.917	0
SLC9A3R1	0	1.5619505434633	0.718	0.411	0
SPON2	0	5.33031411284595	0.418	0.019	0
SRGN	0	1.60024668785396	0.79	0.434	0
TCF7	0	-2.77838613384797	0.118	0.561	0
TMSB4X	0	0.582201491780953	0.999	0.996	0
TPT1	0	-0.640326966696682	0.992	0.996	0
ZEB2	0	4.47826236103007	0.335	0.016	0
CX3CR1	0	5.78698608471163	0.322	0.005	0
FCRL6	0	6.49537920343035	0.305	0.002	0
S1PR5	0	5.99934839539269	0.254	0.002	0
PRSS23	8.48780716629626e-306	6.15705810921004	0.252	0.003	1.35312621845095e-301
RPS16	2.48893863191363e-302	-0.544793241094087	0.963	0.983	3.96786596699671e-298
ARPC2	1.10725706343464e-301	1.00775043604505	0.858	0.696	1.7651892105275e-297
EEF2	3.28069917769529e-299	-0.822463004605343	0.786	0.916	5.23009062908183e-295
ZNF683	3.95212479089366e-298	6.64788263028329	0.249	0.004	6.30047734164267e-294
NPM1	1.84839501440512e-296	-0.810209056632603	0.768	0.913	2.94671133196465e-292
YWHAQ	3.50073304830857e-292	1.5887206429783	0.627	0.319	5.58086862561352e-288
RPL4	8.02133737525434e-289	-0.7695717431686	0.817	0.93	1.27876160436305e-284
APOBEC3G	5.80593626829099e-287	2.69213633893324	0.389	0.091	9.2558235989095e-283
RPS2	7.82198581871197e-283	-0.523726914461456	0.98	0.991	1.24698097921906e-278
IFITM1	1.89995001896536e-279	0.719339070082061	0.988	0.949	3.02890032023457e-275
LYAR	1.22083779098945e-277	2.04338014280111	0.438	0.125	1.94625960639538e-273
MYO1F	5.74089349192177e-277	2.46122228114102	0.39	0.092	9.15213240482168e-273
CD320	5.27608621797166e-275	2.29809319517358	0.443	0.143	8.41113664869041e-271
RPL7A	1.36625648870929e-272	-0.381557895933865	0.997	0.996	2.17808609430034e-268
TBX21	1.20278178126622e-271	4.250680802649	0.251	0.012	1.91747471569461e-267
GSTP1	2.05383871675271e-266	1.54787702273757	0.615	0.319	3.27422968224717e-262
ASCL2	6.28297296636616e-266	6.14756710670095	0.221	0.001	1.00163155029809e-261
RPS21	4.07913463305028e-264	-0.533020050629997	0.972	0.986	6.50295643200876e-260
RPS15	1.2113736561358e-259	-0.330280754410714	0.997	0.996	1.93117188261169e-255
RPS3	1.47739255187857e-258	-0.352061988919949	0.998	0.996	2.35525920620481e-254
C1orf21	1.84519829058723e-256	5.45695550311469	0.217	0.003	2.94161511485417e-252
PTGDR	2.72667180349626e-253	4.16311918902215	0.241	0.014	4.34686018913375e-249
KLRD1	3.48401617454787e-253	5.13863193794966	0.232	0.011	5.55421858546422e-249
RAP1B	6.40010953058587e-253	1.32059326423715	0.68	0.435	1.020305461366e-248
TPST2	3.8931368116769e-250	2.51318984711342	0.354	0.083	6.20643870517531e-246
CD2	8.31444762754426e-247	1.33034123947115	0.681	0.418	1.32548924078311e-242
LY6E	3.0352143362607e-246	1.13402525303492	0.803	0.623	4.83873869486681e-242
ANXA1	1.18176357077755e-244	0.959292651791618	0.809	0.547	1.88396748453357e-240
CAMK4	3.74494609892813e-244	-2.04762475782759	0.116	0.406	5.97019307091122e-240
RPL7	1.78000672942601e-240	-0.660529519626271	0.83	0.934	2.83768672805094e-236
RPL21	1.81544256823627e-240	-0.470028346458149	0.969	0.985	2.89417854228226e-236
CD74	1.08508440206729e-238	1.29592649468574	0.833	0.688	1.72984155377568e-234
PPP1CA	7.68795620306032e-236	1.16155912079528	0.715	0.486	1.22561397789188e-231
TGFBR3	2.37466843650867e-234	3.52596598744482	0.247	0.024	3.78569642148213e-230
APMAP	1.86848971213384e-231	2.25543151934711	0.367	0.101	2.97874629908377e-227
CHST12	4.98036346978199e-229	2.53048406523184	0.324	0.072	7.93969544352645e-225
ANXA2	7.20342791883588e-229	1.61193946528548	0.486	0.19	1.14837047882082e-224
S100A11	8.39602150547008e-229	1.17687089219701	0.679	0.394	1.33849374840204e-224
MT-CO1	6.35251415377818e-227	0.628158941969348	0.989	0.985	1.01271780639532e-222
LCP1	4.00835890971205e-225	1.31822425907783	0.634	0.383	6.39012577386294e-221
RASSF1	4.84481151607661e-224	1.93060874251745	0.427	0.154	7.72359851892933e-220
CD7	1.66704616687255e-220	-1.14249846289023	0.333	0.645	2.65760499922821e-216
PSMB9	4.287255915208e-219	1.08660901958531	0.742	0.526	6.83474338002459e-215
RPL3	2.77832893555928e-217	-0.426119941660295	0.979	0.989	4.42921198906861e-213
MYL12B	1.31706931027388e-216	0.820548008956402	0.853	0.728	2.09967189443861e-212
SAMD3	3.89890584998383e-211	2.3454882720273	0.339	0.092	6.21563570604423e-207
FGR	6.02916838444904e-210	4.62145115266962	0.191	0.006	9.61170023848867e-206
FAU	4.00464209652016e-207	-0.31962981159054	0.996	0.995	6.38420043027244e-203
DGKA	4.04836768116701e-205	-2.1081878579412	0.095	0.346	6.45390775731644e-201
FOS	4.97045756591116e-205	-0.978920737823014	0.787	0.909	7.92390345157558e-201
BTG1	6.18252681073377e-200	-0.615822463616659	0.885	0.959	9.85618424167178e-196
RPS7	2.29956481617287e-198	-0.331447777392036	0.996	0.994	3.66596622994279e-194
HLA-DRB5	2.71175106868301e-198	2.99284708053765	0.252	0.041	4.32307355369445e-194
ABI3	2.31876151677032e-197	3.09955738842002	0.239	0.035	3.69656961003524e-193
MYO1G	2.0017099212769e-195	1.62584661588673	0.466	0.211	3.19112595649963e-191
PIK3IP1	3.07071912966167e-193	-1.35222528501438	0.262	0.54	4.89534043650663e-189
SYNE1	4.18452699409886e-193	2.06971225261169	0.35	0.111	6.6709729339924e-189
LITAF	6.6353134110027e-193	1.14962311536827	0.671	0.47	1.05780166398205e-188
MYC	2.02452060994983e-189	-2.60739253317844	0.06	0.276	3.22749075638202e-185
JUNB	3.30388883149682e-189	-1.05093059011239	0.869	0.923	5.26705957517224e-185
CD63	6.42663863446512e-187	1.89251882108466	0.388	0.147	1.02453473110643e-182
SPINT2	1.35196322562562e-185	-3.48733101224774	0.02	0.202	2.15529977429237e-181
PSME1	2.43120024581119e-185	0.7239044278338	0.859	0.753	3.87581943187221e-181
PPIB	2.67111836554237e-185	0.814449060820939	0.815	0.673	4.25829689834765e-181
IL7R	2.44116567079105e-184	-0.817812071462255	0.635	0.855	3.8917063123751e-180
AHNAK	2.4830021680234e-183	1.21602247368318	0.56	0.296	3.9584020562629e-179
SPN	4.95836500447479e-183	1.583702684086	0.452	0.203	7.9046254901337e-179
EIF3E	4.11372586127062e-182	-0.941382402086484	0.479	0.718	6.55810176803763e-178
LDLRAP1	1.44018027876533e-181	-1.82669791670963	0.114	0.355	2.29593540040769e-177
SERF2	3.22442580985289e-179	0.528019250352838	0.952	0.914	5.14037962606748e-175
LEPROTL1	2.99597051673649e-176	-1.21269953752722	0.293	0.563	4.77617619778132e-172
CD300A	9.02669276321774e-175	2.85319599262498	0.228	0.039	1.43903536031217e-170
CYTOR	3.21054701815552e-174	2.18154284387644	0.282	0.069	5.11825405634354e-170
GAPDH	1.58723303193178e-173	0.522860629555867	0.951	0.902	2.53036689950564e-169
DNAJC1	2.16601810784605e-173	1.98413764642098	0.327	0.103	3.45306606752817e-169
TTC38	3.60462610581619e-173	3.93999689624727	0.173	0.011	5.74649493789218e-169
RARRES3	3.97955005958214e-173	0.939067909380768	0.734	0.565	6.34419870498585e-169
RPL6	1.01496248553975e-172	-0.33402374817884	0.991	0.992	1.61805319444746e-168
ITGB1	2.99828648167772e-172	1.31623167288059	0.488	0.234	4.77986830909061e-168
PAXX	2.60846385188946e-170	1.37279685300235	0.509	0.275	4.15841307268218e-166
GNG2	1.59953343633473e-169	1.68204090432432	0.411	0.179	2.54997620420483e-165
ADRB2	5.43207072242328e-168	3.6912313164779	0.175	0.014	8.65980714568719e-164
TSHZ2	7.20849960753513e-168	-3.2854951922105	0.024	0.195	1.14917900743325e-163
LAIR2	1.21582843816809e-162	3.70154500064946	0.177	0.017	1.93827369612757e-158
ACTN4	5.52543257634878e-162	2.01669729065872	0.295	0.086	8.80864461321522e-158
SLC40A1	1.54332514130856e-159	-3.88984985942389	0.014	0.167	2.46036894027411e-155
MSN	2.19116893264449e-159	1.34986612315223	0.496	0.269	3.49316151242185e-155
PPP1R18	4.17392559766977e-159	1.25286605805486	0.527	0.301	6.65407218780514e-155
FHIT	3.22269959593724e-158	-3.04973672028207	0.027	0.193	5.13762769584316e-154
ARPC5L	3.92860592229755e-158	1.48278075184467	0.433	0.202	6.26298356132676e-154
TPM3	7.70537047007555e-158	0.724389372340024	0.814	0.7	1.22839016033944e-153
FOXP1	5.51201825389378e-157	-1.34784438845028	0.223	0.465	8.78725950035747e-153
SH3YL1	1.64802014117542e-154	-2.44898837684584	0.05	0.234	2.62727370906186e-150
TRABD2A	8.95875782612519e-154	-2.25868780846803	0.063	0.253	1.42820517264088e-149
IFNG	1.6751976614654e-153	4.18231844762137	0.153	0.009	2.67060011190814e-149
RPL15	2.59445106336237e-150	-0.379847769636914	0.957	0.981	4.13607388521228e-146
PTPRC	1.18610854055696e-149	0.589387383452024	0.884	0.803	1.8908942353559e-145
CD53	2.01211043097045e-149	1.00425349183934	0.641	0.453	3.20770644905308e-145
ID2	5.29189739164841e-149	1.29118655185492	0.468	0.237	8.43634282176589e-145
ITGAL	3.99587407677786e-147	1.96286507433171	0.295	0.097	6.37022245319926e-143
BEX3	1.54365978620355e-146	-3.01120663187225	0.027	0.184	2.4609024311657e-142
HINT1	3.35702828524105e-146	-0.600073693933059	0.74	0.876	5.35177449233128e-142
STOM	1.36625468636045e-145	2.24626022877632	0.246	0.064	2.17808322099583e-141
UBB	1.62737430494066e-145	0.700105822344669	0.821	0.709	2.5943601169364e-141
SOCS3	8.7800208878964e-145	-2.33513123995679	0.064	0.247	1.39971092994844e-140
RGS10	9.93368280743016e-144	-1.03990602337754	0.324	0.566	1.58362771316052e-139
CLIC3	1.94163018342126e-143	3.70972521941337	0.156	0.014	3.09534683841018e-139
ARPC3	8.08559439647031e-143	0.672009009427521	0.817	0.714	1.2890054586853e-138
ITGAM	1.21872934914567e-142	4.71052724375362	0.131	0.004	1.94289832840803e-138
AGTRAP	2.03799413971623e-142	1.82257724598044	0.309	0.11	3.24897025753561e-138
EPHX2	9.8565463968278e-141	-2.77696601338748	0.03	0.187	1.57133062658229e-136
SYNE2	2.09835562918659e-140	1.15090916553801	0.487	0.267	3.34519854404926e-136
SERINC5	7.61080452757204e-140	-2.46890216458804	0.039	0.203	1.21331445778553e-135
RPL13A	2.0908163731617e-139	-0.386373904379752	0.951	0.976	3.33317946209438e-135
CALR	1.9938488435906e-138	1.03985604459725	0.656	0.491	3.17859382645213e-134
BHLHE40	3.22547536003554e-138	2.03349203846008	0.249	0.068	5.14205281896865e-134
IL6R	4.18828687647849e-138	-3.07215223867771	0.023	0.169	6.67696693848202e-134
TCEA3	4.03969036729546e-137	-3.5482984314241	0.014	0.151	6.44007438354242e-133
OASL	4.95549307162409e-137	2.78875215429647	0.173	0.025	7.90004705478312e-133
LINC02384	1.0431008002704e-136	4.92854556295742	0.123	0.002	1.66291129579108e-132
MT2A	2.09791798824905e-136	1.29622653769153	0.484	0.267	3.34450085686664e-132
DOK2	7.41699044442434e-136	1.27704102251615	0.452	0.239	1.18241661665013e-131
DBI	7.95272118363835e-136	1.13799150426941	0.529	0.327	1.26782281109563e-131
ADTRP	1.25797982435099e-134	-3.65777646139763	0.016	0.151	2.00547143598036e-130
PYHIN1	1.78756353087666e-134	1.86861273131163	0.263	0.081	2.84973378092358e-130
RAC2	2.00370405926642e-134	0.553321137610499	0.883	0.824	3.19430501128253e-130
PIM2	7.78303163094144e-134	-1.41375606305265	0.17	0.388	1.24077090260468e-129
KLRF1	1.20912856139694e-133	4.76469950662	0.122	0.003	1.927592752579e-129
SLAMF7	2.50170144341463e-133	4.52384837978878	0.124	0.004	3.9882124410916e-129
DHRS7	1.01552483073425e-132	1.17428361340577	0.501	0.292	1.61894968515654e-128
HLA-E	2.94839940381175e-131	0.401571947305321	0.971	0.958	4.70033832955669e-127
CES1	2.68202355574509e-129	4.61622242368895	0.121	0.004	4.27568195256882e-125
CISD3	2.99801758773441e-129	1.8654150595469	0.291	0.106	4.7794396383662e-125
COTL1	6.9403616062116e-129	-0.899143397656268	0.352	0.589	1.10643244726225e-124
NOP53	1.74249474273586e-128	-0.615436233349113	0.675	0.826	2.77788511886951e-124
PPP2R2B	2.83682875951304e-128	3.46167870834116	0.138	0.012	4.52247240841569e-124
ARMH1	9.20410723892071e-128	-2.80357108923318	0.023	0.163	1.46731877602874e-123
TRGV2	2.77707276471125e-127	5.18055129686156	0.117	0.003	4.42720940150268e-123
RUNX3	2.8969235966222e-127	2.03533884711063	0.242	0.071	4.61827559773511e-123
NELL2	3.05594731499849e-127	-3.17408370849017	0.015	0.146	4.8717912095706e-123
SIRPG	6.78632606452492e-127	-2.22423099261562	0.05	0.209	1.08187610120656e-122
SEPT7	2.11662092635991e-126	0.832594029541594	0.683	0.524	3.37431708080296e-122
ACTN1	4.13858440140488e-126	-2.6309251126358	0.029	0.172	6.59773125271965e-122
RPS27	1.28250400189957e-125	-0.331069781909251	0.993	0.995	2.0445678798283e-121
CDC42EP3	1.94583276362517e-125	1.6266218042154	0.315	0.125	3.10204659177125e-121
GUK1	2.57407787675665e-125	0.864034346430746	0.65	0.481	4.10359495112544e-121
RHOA	1.33075799988868e-124	0.613865472663189	0.836	0.77	2.12149440342253e-120
F2R	2.10015859568166e-124	4.21838060136534	0.12	0.005	3.3480728332357e-120
FXYD5	3.1999871438354e-122	-0.468085784234287	0.867	0.93	5.1014195047024e-118
TRAT1	3.6590451052527e-122	-1.51224997338901	0.126	0.32	5.83324970679385e-118
PPP2R5C	9.88539583746687e-122	1.18568746062255	0.471	0.272	1.57592980440897e-117
INPP4B	4.01302635793923e-121	-1.45547094104039	0.135	0.331	6.39756661982673e-117
PPIA	9.16351277038961e-121	0.440101299863066	0.942	0.91	1.46084720585551e-116
KLRB1	8.90173867214297e-120	1.33957561046881	0.34	0.141	1.41911517911303e-115
CDK2AP2	6.92373612556482e-119	1.37575669675552	0.412	0.219	1.10378201313754e-114
SATB1	3.41582308708461e-118	-1.81001727389187	0.076	0.243	5.44550516543028e-114
PDIA3	1.12550218102935e-116	0.873775994773317	0.644	0.484	1.79427557699699e-112
ACTG1	2.68808855427743e-116	0.580737449776217	0.944	0.916	4.28535077322907e-112
YWHAZ	3.33759426353345e-116	0.620101350527813	0.813	0.711	5.32079277492503e-112
CD3D	6.91347020457237e-116	0.583172730805217	0.861	0.795	1.10214542001293e-111
MIR4435-2HG	2.50384550020762e-115	2.4343965698893	0.163	0.029	3.99163049643099e-111
PLEKHF1	1.01912565490797e-113	2.50331108292151	0.178	0.039	1.62469011905429e-109
FCGR3A	2.32433479126618e-113	3.93647423235453	0.119	0.009	3.70545452423655e-109
PATL2	5.48622530711166e-113	1.83039257931804	0.246	0.082	8.74614038459741e-109
TRGV9	4.60366196720425e-112	5.66000351274947	0.102	0.002	7.33915790811701e-108
GBP5	5.57378720582018e-112	1.38627742493086	0.328	0.143	8.88573156351853e-108
BSG	5.40241575883927e-111	1.03923439393534	0.506	0.328	8.61253120274157e-107
EEF1D	6.58639176144877e-111	-0.362986294844402	0.934	0.967	1.05000257461016e-106
PASK	1.08525697860189e-109	-2.93595641765837	0.02	0.14	1.73011667528713e-105
ANXA6	1.39379487211379e-109	0.836512345295749	0.632	0.48	2.22198778512381e-105
FCMR	1.41853565738367e-109	-1.04645897049499	0.261	0.467	2.26142954500105e-105
SH2D2A	4.20204559569836e-109	1.67085388796193	0.285	0.115	6.69890108866232e-105
CORO1A	6.40978543770085e-109	0.482364554813275	0.907	0.866	1.02184799447827e-104
PRR5L	8.71308490085477e-109	3.72578424985132	0.112	0.007	1.38903999489427e-104
EIF3L	3.07514995194733e-108	-0.777627982137113	0.442	0.638	4.90240405339443e-104
RPS24	1.29112704245552e-107	-0.248886990124999	0.993	0.993	2.05831473108259e-103
CAST	8.61410842984532e-107	0.953005630202896	0.525	0.339	1.37326116588594e-102
PLA2G16	1.81940754547773e-106	2.81507045538969	0.14	0.021	2.9004995090006e-102
TMIGD2	2.89444468027086e-106	-2.67210321381607	0.027	0.151	4.6143237092878e-102
CAP1	3.86348562286719e-106	0.880226148943317	0.612	0.46	6.15916877997488e-102
EIF3H	1.70242384043193e-105	-0.654622181009175	0.538	0.722	2.71400408641658e-101
IL6ST	3.46149137049534e-105	-1.8692936877933	0.06	0.208	5.51830954284367e-101
RNF213	7.19481330176944e-105	1.07753653956681	0.501	0.325	1.14699713656808e-100
OXNAD1	5.43639487165748e-103	-1.29990489625581	0.161	0.345	8.66670070439636e-99
MAP3K8	1.63464349374156e-102	2.37925315689544	0.152	0.029	2.6059486577228e-98
LPCAT1	2.5559522885209e-102	2.95196655978499	0.128	0.017	4.07469913836002e-98
RAB29	4.78572835244136e-102	1.40518960336427	0.328	0.156	7.62940813946202e-98
HLA-DQA1	7.6226579795797e-102	3.23026584734035	0.123	0.015	1.2152041351046e-97
CCND3	1.56550922089246e-100	0.712639951430326	0.727	0.612	2.49573479994675e-96
CMC1	1.97831220208087e-100	2.22020040390677	0.208	0.067	3.15382531255732e-96
MCUB	2.34855759382754e-100	-0.895660553170261	0.274	0.478	3.74407051607986e-96
SERP1	1.22306126565957e-99	-0.665327897284488	0.517	0.703	1.94980426971449e-95
ABLIM1	3.0858821481906e-99	-1.32679682662442	0.134	0.308	4.91951332064545e-95
CD55	9.96584331833277e-99	-1.62404889840763	0.091	0.247	1.58875474180861e-94
TXK	1.24082151609019e-98	-2.28394164523081	0.033	0.155	1.97811766095098e-94
OAZ1	2.38466967812025e-98	0.523553300922254	0.847	0.775	3.8016404008593e-94
TLN1	2.48538322621422e-98	1.39503787441081	0.312	0.144	3.96219793923071e-94
PSME2	4.74509505733047e-98	0.792626375137068	0.651	0.512	7.56463054039623e-94
FLT3LG	2.74043267179964e-97	-0.821211964199943	0.359	0.562	4.36879776538298e-93
BST2	1.17223085252391e-96	1.04051624199086	0.486	0.316	1.86877042509361e-92
SEC61B	2.07555635569684e-96	0.841003260209547	0.567	0.399	3.3088519422519e-92
AIF1	1.13667047393141e-95	-1.87923271432861	0.048	0.18	1.81208006954145e-91
ADGRE5	1.17719079701513e-95	1.08180259056456	0.466	0.291	1.87667756860152e-91
SLC2A3	2.39371073789978e-95	-1.03591325217038	0.298	0.49	3.81605365835983e-91
H3F3A	4.69006894579616e-95	0.488604539081685	0.85	0.772	7.47690791338824e-91
HSP90AA1	8.89488817734628e-95	0.582019945488545	0.78	0.687	1.41802307323254e-90
TGFB1	1.05206658632519e-94	1.26481699220819	0.362	0.193	1.67720455191962e-90
ST13	1.43988843971119e-94	-0.783565091563054	0.375	0.572	2.29547015058757e-90
GPR65	6.59866993938532e-94	1.80751297949678	0.214	0.073	1.05195996173681e-89
TMEM123	7.91349127006746e-94	-0.858784795189045	0.335	0.528	1.26156877827415e-89
DSTN	8.83597785084737e-94	1.09005908477368	0.432	0.262	1.40863158898209e-89
UBC	1.71100708164754e-93	0.326989915746553	0.969	0.949	2.7276874895625e-89
MYBL1	5.58979801998147e-93	2.48552913752404	0.135	0.025	8.91125600345447e-89
LAG3	5.94268519946674e-93	2.59945657665344	0.131	0.022	9.47382874498988e-89
TMSB10	1.56755889514412e-92	0.230661637918887	0.999	0.997	2.49900239063876e-88
MBP	2.23213923116091e-92	0.967776582017098	0.476	0.304	3.55847636231671e-88
AC005842.1	1.18720188560753e-91	-3.30691487835526	0.01	0.103	1.89263724603553e-87
LINC02273	1.62738997255361e-91	-2.17873974309751	0.034	0.152	2.59438509424496e-87
CD3G	4.51052913546123e-91	0.62334685775035	0.752	0.662	7.19068554775229e-87
SNHG7	6.56812227743445e-91	-1.24620439841704	0.133	0.301	1.0470900534686e-86
SASH3	9.60401183800326e-91	1.25084941381987	0.355	0.191	1.53107156721448e-86
CRIP2	1.25019350586058e-90	-2.6260709143442	0.021	0.125	1.99305848704294e-86
PLP2	2.34969669549221e-90	-0.885946678841386	0.282	0.475	3.74588647195368e-86
CCNI	1.66946146192319e-89	-0.492649642858265	0.703	0.823	2.66145546259794e-85
GNPTAB	2.18173661767756e-89	1.88783297536552	0.196	0.064	3.47812451590157e-85
REEP5	3.46099954699623e-89	1.1714622363553	0.359	0.192	5.51752547782139e-85
TTC16	5.03851255232583e-89	2.80119671455043	0.118	0.018	8.03239671091784e-85
CCDC107	7.84060537093163e-89	1.12294132778341	0.373	0.206	1.24994930823392e-84
FAM102A	9.27253184262294e-89	-2.26923786069916	0.029	0.14	1.47822702635095e-84
BTF3	1.01652324443333e-88	-0.359525136491962	0.889	0.939	1.62054135627561e-84
RPL38	1.71489895201661e-88	-0.439961049155004	0.814	0.897	2.73389190930487e-84
VCL	8.98760604000994e-88	2.15061215979129	0.155	0.039	1.43280415489838e-83
ITGB7	1.78764490845038e-87	1.08644159345185	0.425	0.266	2.8498635130516e-83
GLIPR2	9.24757500264366e-87	1.3229147209963	0.309	0.153	1.47424840692145e-82
ADAM8	1.06278294077977e-86	1.55050718451147	0.25	0.104	1.69428856419111e-82
TXN	2.07960889059712e-86	0.92999550548185	0.459	0.291	3.31531249338993e-82
ABHD17A	2.10912069820959e-86	1.92909767344301	0.188	0.06	3.36236021708573e-82
CAPN2	7.77055900448983e-86	1.10137839456119	0.396	0.233	1.23878251649577e-81
DNAJB1	1.16822521774193e-85	-0.748499219763672	0.439	0.614	1.86238464212418e-81
IQGAP1	1.72509242390899e-85	1.1687424664827	0.345	0.186	2.75014234219571e-81
TESC	1.90892857845133e-85	2.77766954966956	0.117	0.019	3.0432139397671e-81
SUSD3	2.02929777069897e-85	-1.78308119268776	0.055	0.182	3.23510650604829e-81
KLF6	2.47884133168644e-85	0.461992614942716	0.858	0.737	3.95176885097452e-81
IFNGR2	4.50609069421752e-85	-3.21136424090067	0.011	0.101	7.18360978472157e-81
CD28	1.24199348433373e-84	-2.01801328650361	0.037	0.151	1.97998601272484e-80
VASP	1.57451950606578e-84	1.19245703952984	0.352	0.194	2.51009899657007e-80
