p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MYO1F	4.83495477709168e-235	2.28391740851288	0.379	0.109	7.29449627219822e-231
C1orf21	6.88219821641196e-233	4.50324788848257	0.215	0.009	1.03831724491007e-228
S1PR5	1.12612358581334e-232	3.39566479785191	0.253	0.027	1.69898265391659e-228
EIF3E	1.13322127424755e-230	-1.03474351580075	0.445	0.739	1.70969093645728e-226
FOS	5.3585508593189e-230	-0.99397645329481	0.799	0.938	8.08444568145443e-226
RARRES3	7.88680230401596e-228	1.06706897467377	0.758	0.597	1.18988186360689e-223
LITAF	1.59354106930227e-225	1.24172548239176	0.697	0.509	2.40417541125633e-221
PPP1CA	1.6653798645145e-223	1.22397769961161	0.685	0.505	2.51255860159303e-219
OXNAD1	2.10816409699123e-219	-1.76103691483611	0.13	0.413	3.18058717313067e-215
CAMK4	8.41756075906812e-219	-1.63902377235184	0.129	0.42	1.26995739172061e-214
ASCL2	3.31643379593679e-218	4.94869219323305	0.198	0.007	5.00350366792983e-214
CYTOR	1.55182279330444e-214	2.64293379359298	0.295	0.06	2.34123504825841e-210
PYHIN1	5.34966996846716e-214	2.61643785393833	0.303	0.066	8.07104708142641e-210
ARPC5L	2.1584772687267e-211	1.78144882103998	0.46	0.204	3.25649465532797e-207
TRABD2A	5.63072785961346e-210	-2.48570234866597	0.042	0.269	8.49507912179882e-206
CD63	1.04291466667809e-209	1.80619923313272	0.45	0.19	1.57344535761724e-205
TMIGD2	1.86959153512353e-209	-3.95499163517179	0.009	0.197	2.82065274904087e-205
DOK2	1.3692383170678e-207	1.91047983639199	0.423	0.167	2.06576984896019e-203
RPL15	2.67650042482551e-205	-0.423138207798315	0.96	0.99	4.03803619093424e-201
ARMH1	1.1519041672626e-204	-3.2558540425471	0.019	0.216	1.73787781714909e-200
MATK	1.26385748657683e-203	1.80106863349425	0.416	0.158	1.90678178999846e-199
TGFBR3	5.00018924969015e-203	3.2987708734236	0.237	0.032	7.54378552100753e-199
PIK3IP1	5.89702426360045e-202	-1.25587557080524	0.243	0.547	8.896840506494e-198
FAU	1.68086945289763e-200	-0.308199615405405	0.993	0.998	2.53592774358665e-196
PSMB9	1.45978247883291e-198	1.09516639301318	0.711	0.557	2.20237382581522e-194
LEPROTL1	4.523683733784e-198	-1.15319776278238	0.285	0.588	6.82488164915992e-194
ZNF683	2.21253115735375e-197	3.23436876400258	0.236	0.033	3.33804575709961e-193
AHNAK	1.54993893487837e-195	1.45708213596451	0.534	0.272	2.338392871051e-191
PASK	3.95641728353225e-195	-3.10009819694725	0.024	0.22	5.96904675566511e-191
LAG3	6.52091971187569e-194	2.52730438375712	0.279	0.059	9.83811156930685e-190
SH3YL1	5.82277785505789e-193	-2.68202977057949	0.036	0.242	8.78482494992583e-189
SAMD3	1.93679615197305e-192	2.0123554203829	0.367	0.126	2.92204435448174e-188
ANXA2	2.83587468043155e-191	1.78132957669338	0.417	0.168	4.27848413036708e-187
MYO1G	2.66304225089422e-189	1.67941056675924	0.454	0.209	4.01773184392412e-185
TPST2	8.09686718778602e-187	1.80687778967653	0.42	0.18	1.22157435262128e-182
PTGDR	7.73479813836247e-183	2.87001222051374	0.242	0.043	1.16694899513475e-178
S100A10	2.96603894498599e-182	0.752322061999664	0.862	0.784	4.47486295630036e-178
FLT3LG	6.61521781166824e-178	-1.09999168736918	0.284	0.57	9.98037911246388e-174
LCP1	6.93039823226851e-178	1.20751003875113	0.63	0.436	1.04558918130235e-173
RPS19	2.87441256532211e-177	-0.291816714153429	0.993	0.999	4.33662623730146e-173
CD2	2.59011704726971e-176	1.25300347045176	0.61	0.409	3.90770958921582e-172
ABI3	5.6290534066001e-176	2.42167726691454	0.286	0.076	8.49255287453757e-172
LY6E	1.74975820152651e-175	0.965715718535312	0.757	0.638	2.63986019864305e-171
PPIB	5.16192657720486e-167	0.772044526610538	0.802	0.713	7.78779862702897e-163
CLIC3	7.46484814737937e-167	2.78887049950387	0.244	0.053	1.12622163999513e-162
RGS10	1.16528444377689e-165	-1.01585160131585	0.327	0.604	1.75806464032619e-161
JUNB	1.24921426756512e-164	-0.802318057091039	0.869	0.948	1.8846895654755e-160
PSME1	1.63144313987406e-164	0.698538561215326	0.845	0.782	2.46135826512799e-160
FOXP1	3.19818634079447e-164	-1.21698945960253	0.213	0.481	4.82510373235662e-160
ABLIM1	3.56930848633939e-162	-1.60247780295639	0.121	0.357	5.38501571334024e-158
IFNG	9.76949775100182e-162	4.42544976350205	0.155	0.007	1.47392412569364e-157
SYNE1	4.45971303070059e-159	2.00823644977089	0.346	0.133	6.72836904941798e-155
SERINC5	6.66882281713557e-158	-2.48981822002925	0.031	0.205	1.00612529842124e-153
BTF3	9.85617503328089e-158	-0.468539041898474	0.872	0.959	1.48700112727109e-153
LYAR	2.93918087867686e-157	1.31091166433966	0.457	0.217	4.43434219165978e-153
LINC02446	2.47900656824233e-156	-1.41445418808761	0.2	0.443	3.7400772095072e-152
CHST12	2.55597886906166e-156	1.98764446807638	0.329	0.119	3.85620531975332e-152
ACTN4	2.94172593152103e-155	2.14560409318811	0.287	0.087	4.43818191288577e-151
PPP1R18	2.20615876425913e-154	1.32866950313934	0.509	0.3	3.32843172763775e-150
ANXA6	3.13719714789324e-153	1.06170644217909	0.628	0.454	4.73308933702653e-149
DGKA	4.62083845049672e-153	-1.60198597777715	0.094	0.31	6.97145897026441e-149
BEX3	4.64072784387839e-153	-3.27823661294481	0.014	0.164	7.00146609805932e-149
CD55	3.04320515282868e-152	-1.62339500472076	0.097	0.313	4.59128361407263e-148
S100A11	9.46334555372037e-152	1.22610829709807	0.53	0.303	1.42773494368979e-147
RPS7	3.4221005229724e-151	-0.284117924388347	0.991	0.998	5.16292305900846e-147
PTMS	1.74390149820964e-150	3.04548077154169	0.186	0.026	2.63102419034888e-146
CD3D	8.37747294650707e-150	0.642801959749059	0.871	0.828	1.26390934343952e-145
TXK	5.79944196768836e-149	-2.37117864338548	0.034	0.203	8.74961809665142e-145
SNHG8	4.25941624586426e-147	-1.02974251477342	0.254	0.516	6.42618129013541e-143
SATB1	5.59015102446113e-147	-1.76135611758508	0.074	0.272	8.4338608506045e-143
GNG2	1.06711281857613e-144	1.66481365213897	0.394	0.188	1.60995310938581e-140
RASSF1	2.25601283132249e-144	1.53148992260635	0.431	0.225	3.40364655861624e-140
TMEM123	2.37648159114879e-144	-1.03448836682619	0.249	0.505	3.58539777656617e-140
SYNE2	7.9419630280462e-144	1.36825160873327	0.475	0.264	1.19820396204133e-139
CD52	8.40363499264532e-144	0.595030697262708	0.933	0.946	1.2678564113404e-139
IFITM1	7.4771406870275e-143	0.540717519527131	0.966	0.964	1.12807621545184e-138
HLA-DQA1	2.33154584100316e-142	3.59441544105747	0.158	0.016	3.51760321032147e-138
RHOA	7.13408051949105e-142	0.690140086298582	0.808	0.758	1.07631872797562e-137
SERF2	5.85753801007874e-140	0.461368377381705	0.947	0.942	8.83726759580579e-136
SPN	7.52288377527726e-140	1.55847711070408	0.413	0.211	1.13497747517608e-135
RPL38	8.53255578118018e-139	-0.540942005522952	0.809	0.92	1.28730669070665e-134
ITGAL	6.72106722538841e-138	1.93878013735278	0.308	0.117	1.01400741229435e-133
EPHX2	9.65068167180293e-138	-2.86706985478729	0.019	0.162	1.45599834382491e-133
MSN	1.73322654143747e-137	1.35827873273078	0.483	0.29	2.61491888306671e-133
NDFIP1	8.75384419894379e-137	-0.965969845119567	0.329	0.58	1.32069247429465e-132
BTG1	4.49598976922303e-136	-0.483049866767168	0.881	0.961	6.78309976482678e-132
NOP53	1.45373576826658e-135	-0.587276745475338	0.652	0.848	2.19325115358379e-131
MIR4435-2HG	5.36787963999797e-135	3.24735473402172	0.159	0.019	8.09852001286494e-131
TIGIT	6.28511853392443e-135	2.89265791496136	0.182	0.031	9.48235833213179e-131
CD3G	1.89792762485563e-134	0.795508212132535	0.751	0.666	2.86340340761969e-130
TNFRSF1B	6.9933864987692e-134	2.04141911378092	0.267	0.086	1.05509222106931e-129
RGCC	7.41297702605367e-133	-1.39477228983022	0.089	0.285	1.11839584392072e-128
TPM3	9.64348662613231e-131	0.687526667411495	0.795	0.722	1.45491282728458e-126
HLA-E	1.31523921109187e-130	0.418985974559105	0.969	0.954	1.98430139777431e-126
CD300A	5.40023275732254e-130	2.81377316008467	0.18	0.032	8.14733116097251e-126
CORO1A	5.45842165137916e-130	0.563015609379285	0.901	0.872	8.23512074543573e-126
MT-CO1	8.66113575822645e-130	0.439570310120864	0.99	0.992	1.30670555184362e-125
RPL31	5.594399215066e-129	-0.440249029983592	0.874	0.952	8.44027009577008e-125
KLF6	3.28525014729406e-127	0.601667732384996	0.811	0.629	4.95645689722255e-123
ZFAS1	4.78084075947569e-127	-0.796829060028605	0.354	0.606	7.21285445382098e-123
SLAMF7	7.51122486517216e-127	2.928370127801	0.162	0.023	1.13321849540852e-122
PPP2R5C	1.37604626079469e-126	1.27359718563302	0.469	0.274	2.07604099366095e-122
EIF3H	1.9696272807945e-126	-0.691977665110354	0.524	0.746	2.97157667853467e-122
HLA-DQA2	2.73494406959837e-126	4.23212434908072	0.124	0.006	4.12621011780306e-122
DBI	3.30561372089087e-126	1.17331220229638	0.521	0.346	4.98717942070806e-122
CALR	4.80001325467673e-126	1.05080255931006	0.64	0.517	7.24177999733079e-122
PIM2	7.26399254545341e-125	-1.2732620707801	0.137	0.347	1.09591855533256e-120
F2R	1.80160441187449e-124	3.57849065837358	0.135	0.012	2.71808057619505e-120
TRGV2	1.92924393489066e-124	3.41250125398434	0.15	0.019	2.91065032456954e-120
XCL2	6.5196504878793e-123	4.05088236261611	0.123	0.007	9.8361966910635e-119
UBC	3.42041875140869e-122	0.401910494390231	0.961	0.954	5.16038577025029e-118
YWHAQ	3.91414627837615e-122	1.09338006172699	0.547	0.377	5.9052724901861e-118
PLA2G16	3.34456836032388e-121	2.52743251777903	0.191	0.043	5.04595028522064e-117
RSL1D1	3.45181756166597e-120	-0.91164058609271	0.273	0.511	5.20775715528544e-116
LRRN3	4.92907616991529e-120	-4.32545013118354	0.003	0.111	7.43649721755119e-116
RPL36A	9.26284729604975e-120	-0.666434303814802	0.588	0.791	1.39748577155503e-115
KLRF1	1.30454441877827e-119	3.20182275959092	0.147	0.019	1.96816616461078e-115
RPL13A	3.43652720433761e-119	-0.351726816948995	0.951	0.987	5.18468859318416e-115
RAP1B	2.77284881718054e-118	0.953012543029016	0.632	0.511	4.18339701048028e-114
NT5E	4.8691822526493e-118	-3.28211129381245	0.009	0.126	7.346135264572e-114
DNAJC1	1.73545257103984e-117	1.75379234447244	0.299	0.122	2.6182772939278e-113
LAIR2	3.19723281125737e-117	4.65478496352886	0.115	0.006	4.82366514234399e-113
OAZ1	4.05970709874602e-117	0.583744342423026	0.826	0.79	6.12488009987812e-113
SEPT7	3.2873153096378e-116	0.82755324337661	0.683	0.573	4.95957260765055e-112
AOAH	7.82754260274125e-116	2.23862901395437	0.22	0.065	1.18094135247557e-111
GUK1	1.2434159444183e-114	0.811883546531277	0.67	0.553	1.87594163534389e-110
BACH2	6.07106139604118e-114	-3.05686904783597	0.014	0.131	9.15941032820733e-110
HNRNPA1	2.93957474491655e-113	-0.447932255770391	0.821	0.924	4.4349364176556e-109
YWHAZ	3.02476398421913e-113	0.620189865511298	0.788	0.712	4.56346142299141e-109
SERP1	6.0191229369905e-113	-0.674668894991735	0.487	0.713	9.08105077503757e-109
EIF3L	7.64536653404529e-113	-0.739741683378906	0.435	0.659	1.15345644899141e-108
RPS27	1.06326547858604e-112	-0.298323427089253	0.988	0.999	1.60414862754275e-108
OASL	1.14156230228997e-112	2.75447157395161	0.153	0.025	1.72227504546488e-108
FYN	4.39152980713337e-112	1.53680826691079	0.333	0.154	6.62550102002211e-108
CDK2AP2	2.30611190434201e-111	1.33828354947864	0.42	0.242	3.47923103008079e-107
CD53	3.1642830116706e-110	0.946118938735133	0.596	0.459	4.77395377970743e-106
TLN1	1.51048081991894e-109	1.59804315179501	0.326	0.152	2.27886241301171e-105
MT2A	7.62759844231876e-109	1.26291437740707	0.509	0.35	1.15077577699263e-104
CD160	4.9684165470724e-108	3.09179527034169	0.134	0.018	7.49585004456813e-104
TCEA3	1.08771763932166e-107	-3.48957271374556	0.005	0.106	1.64103960244459e-103
UBB	1.17417793643413e-107	0.597936481598644	0.817	0.778	1.77148225269817e-103
CLEC2B	1.2392127443857e-105	1.17698944673092	0.457	0.288	1.8696002674547e-101
IDH2	1.86986463199396e-105	1.45896424228222	0.359	0.191	2.82106477028929e-101
RPL26	1.94786046451177e-105	-0.386793422529562	0.905	0.97	2.93873708280891e-101
RAC2	2.54222279584544e-105	0.510919499896898	0.876	0.856	3.83545153209201e-101
TMEM14C	1.26077522252735e-104	-1.4405814994542	0.066	0.222	1.90213157822702e-100
C6orf48	1.85995437301166e-104	-1.27698165516225	0.104	0.28	2.80611316256269e-100
LINC02384	2.91616939243615e-104	4.18684159392942	0.101	0.004	4.39962476236841e-100
ST13	3.95853289024527e-104	-0.752104772575501	0.365	0.592	5.97223857151304e-100
COX7C	4.86927054268134e-104	-0.449874171256752	0.776	0.907	7.34626846774334e-100
PPP2R2B	8.83761325906283e-104	2.70808906255205	0.149	0.028	1.33333071239481e-99
STOM	1.68010812692319e-103	1.80657736589633	0.241	0.087	2.53477913108901e-99
TESPA1	9.39192882367398e-103	-1.57584530825133	0.06	0.21	1.41696030162769e-98
OPTN	9.46932456577225e-103	1.38105928967286	0.361	0.19	1.42863699723806e-98
LPCAT1	2.52731323662803e-102	2.64922002779436	0.156	0.032	3.81295748010071e-98
ADRB2	7.60940677990043e-102	2.2530577674226	0.168	0.039	1.14803120088358e-97
PDIA3	1.70243899198613e-101	0.890748475889112	0.611	0.491	2.56846970720948e-97
LILRB1	2.73773311430508e-101	4.05688053880477	0.101	0.005	4.13041794955208e-97
HLA-DRA	3.15700575143845e-101	2.27684610202061	0.211	0.068	4.7629745771952e-97
FXYD5	1.37558346052404e-100	-0.474697675120494	0.811	0.913	2.07534276689261e-96
HSP90AA1	5.51288999620143e-100	0.626168921929878	0.779	0.713	8.3172971372691e-96
IMPDH2	8.77277405134719e-100	-1.20210358761065	0.106	0.279	1.32354842112675e-95
SOCS3	9.33836240403135e-100	-2.00650863982709	0.042	0.174	1.40887873589621e-95
AGTRAP	1.07095736712745e-99	1.6053373990662	0.286	0.126	1.61575337978518e-95
ARPC3	1.47489610672262e-99	0.556494319843926	0.807	0.763	2.22517575621242e-95
IL6R	7.89631128401036e-99	-2.86117972760626	0.008	0.107	1.19131648341864e-94
PLEKHF1	2.4942635944014e-98	2.30737231248984	0.168	0.041	3.76309548487339e-94
ACTG1	2.5690139750043e-98	0.612658688929363	0.936	0.937	3.87587138408899e-94
ITGB1	4.23653592830868e-97	1.24841445866214	0.355	0.181	6.3916617550393e-93
EIF2S3	8.88740671995793e-97	-0.874633552341032	0.251	0.459	1.34084305184005e-92
BSG	1.01375893528009e-96	1.04590622499661	0.5	0.357	1.52945810565707e-92
PFDN5	4.77465352498499e-96	-0.334793738146915	0.896	0.962	7.20351977314485e-92
RPL37A	1.54606067524645e-92	-0.332431052215252	0.923	0.974	2.33254174074433e-88
THEM4	2.06506917322759e-92	-1.10545940317899	0.109	0.276	3.11556986164846e-88
SRP14	2.19401881175032e-91	0.505374594967906	0.827	0.804	3.3101161812877e-87
HINT1	2.35219592041191e-91	-0.435016559219365	0.725	0.87	3.54875798512545e-87
ITGAM	2.51583924208223e-91	3.27575341714226	0.106	0.011	3.79564666452946e-87
APOBEC3C	3.19094128846672e-91	1.84846794104837	0.228	0.088	4.81417312190973e-87
EOMES	7.2563365633184e-91	2.21856818544473	0.152	0.035	1.09476349730785e-86
ADAM8	9.36477665878872e-91	1.86620866303314	0.219	0.08	1.41286385451145e-86
YWHAB	7.25904154973612e-90	0.599353705638528	0.757	0.704	1.09517159860869e-85
PATL2	1.02623213681652e-89	1.80508320496119	0.24	0.098	1.54827642481508e-85
MBP	1.30700977800687e-89	1.10588022289642	0.453	0.304	1.97188565207897e-85
TESC	1.54473010586222e-89	2.83283794274725	0.12	0.018	2.33053431071433e-85
PLP2	3.71733627111793e-89	-0.827166733831022	0.251	0.452	5.60834523223562e-85
SMDT1	5.05728743607508e-89	-0.665597620711857	0.412	0.621	7.62992955480648e-85
CISD3	1.54594658482651e-88	1.5827552471672	0.275	0.127	2.33236961252775e-84
SUSD3	1.1586320934809e-87	-1.87017596725732	0.031	0.144	1.74802823943464e-83
H3F3A	4.47128659224697e-87	0.493212545650627	0.838	0.808	6.745830081723e-83
PPDPF	1.79693361438823e-86	0.475039876848268	0.884	0.872	2.71103374402752e-82
BHLHE40	2.90587152226393e-86	1.70497392605684	0.222	0.084	4.3840883656396e-82
ATP2B4	3.47124937359128e-86	2.04610710596798	0.186	0.06	5.23707392993717e-82
UBA52	4.55716575909301e-86	-0.290180616989105	0.935	0.974	6.87539598074362e-82
CAP1	1.17679738134464e-85	0.844697988189958	0.586	0.471	1.77543420923466e-81
SASH3	1.52213292218038e-85	1.29446644650774	0.365	0.216	2.29644193969354e-81
CAST	3.02015381774282e-85	1.01829919292544	0.477	0.327	4.55650606482859e-81
TRG-AS1	3.72564419600259e-85	1.84230365909743	0.215	0.081	5.62087939850911e-81
PYCARD	4.7876667013077e-85	1.36205422631851	0.343	0.194	7.22315275226293e-81
BATF	2.91875520435839e-84	1.74753951952273	0.213	0.08	4.4035259768155e-80
ITGB7	3.13411509446566e-84	1.16799824082025	0.414	0.267	4.72843944302034e-80
ADGRE5	3.96624613516161e-84	1.11404494887806	0.446	0.298	5.98387554411832e-80
GBP5	5.11051782580757e-84	1.37451568067196	0.285	0.134	7.71023824379588e-80
ALKBH7	2.65479029157993e-83	-0.769934484589712	0.249	0.447	4.00528211290664e-79
SNHG7	5.04575022348313e-83	-1.01429015187231	0.138	0.304	7.61252336216899e-79
TMEM243	5.6186761031281e-83	-0.957213760400717	0.157	0.33	8.47689663678937e-79
PCED1B	6.28928744229443e-83	-1.28937485424264	0.088	0.232	9.48864796418961e-79
ARL6IP5	6.5452896216929e-83	0.715822741062432	0.65	0.554	9.87487845224808e-79
HLA-DQB1	4.89307205112035e-82	2.05459348475941	0.177	0.057	7.38217780352527e-78
A1BG	3.1296698499009e-81	-1.30431570835724	0.069	0.204	4.72173290254549e-77
ANP32B	8.04575630873495e-81	-0.578529155052327	0.472	0.677	1.21386325429884e-76
PDE3B	1.45845200157636e-80	-1.18464055865565	0.072	0.207	2.20036653477825e-76
SUB1	1.54091102982209e-80	0.762370075122936	0.617	0.523	2.32477247069259e-76
USP28	4.20558028941504e-80	2.85580361166536	0.111	0.018	6.34495898264048e-76
